question,reference_answer,answer,normalized_score,dataset_num,predicted_score_0,predicted_score_1,predicted_score_2,predicted_score_3
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,kuning telur mengandung banyak vitamin telur mengandung nutrisi kuning telur mengandung 1 33gram,0.09,analisis_essay-2,0.22402695,0.2671209,0.32524192,0.20389593
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,penambah protein penambah stamina kekebalan tubuh kesehatan mata,0.29,analisis_essay-2,0.3394958,0.25590217,0.33461875,0.3036785
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,menjaga stamina membentuk otot protein yang baik untuk tubuh,0.22,analisis_essay-2,0.22275211,0.14752474,0.29469976,0.25895673
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,4 manfaat telur untuk sumber protein untuk menjaga kesehatan otot dan menjaga perkembangan otot untuk menjaga kesehatan otak untuk memelihara imunitas tubuh,0.23,analisis_essay-2,0.3674958,0.36021075,0.3999588,0.3957341
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,sebagai masker,0.21,analisis_essay-2,0.15384166,0.10436751,0.06915269,0.12605523
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,4 manfaat telur untuk kesehatan sebagai sumber protein untuk pertumbuhan tidak membuat kolesterol bagus untuk kesehatan mata mengandung vitamin b sebagai sumber folat,0.48,analisis_essay-2,0.39996612,0.38258088,0.38573778,0.405279
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,1 sumber makanan 2 sumber energi 3 sumber protein 4 sumber lemak,0.18,analisis_essay-2,0.30440506,0.24449374,0.3728696,0.3023355
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,mencegah ketombe,0.0,analisis_essay-2,0.053209927,0.060119815,0.0045453003,0.06983739
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,daya tahan tubuh meningkatkan protein pada tubuh tubuh menjadi sehat tidak mudah lesu,0.21,analisis_essay-2,0.26515496,0.2297331,0.3261162,0.25492907
Deskripsikan 4 manfaat telur untuk kesehatan?,1 bermanfaat untuk pasien kemoterapi karena kandungan protein yang tinggi putih telur sangat disarankan untuk kemoterapi dan pasien ginjal 2 masker wajah putih telur juga banyak digunakan untuk masker wajah dimana diyakini dapat mengenyalkan serta mencerahkan kulit 3 kekebalan tubuh dan kesehatan mata secara keseluruhan telur baik untuk menjaga sistem kekebalan tubuh dan telah digunakan untuk mengobati katarak degenerasi makula dan membantu untuk membangun tulang yang kuat 4 membantu diet karena putih telur tinggi protein maka ia bisa menggantikan kebutuhan karbohidrat bagi yang sedang diet menurunkan berat badan manfaat protein termasuk juga bisa menggantikan fungsi karbohidrat untuk energi,sumber vitamin sumber protein sumber gizi dan lemak,0.21,analisis_essay-2,0.20269315,0.1640677,0.21994524,0.17882994
